Temperature,Humidity,SoilMoisture,Crop
22.5,65,40,Wheat
23,60,42,Wheat
24.1,58,39,Wheat
25.5,63,45,Wheat
21.8,67,38,Wheat
26,55,50,Wheat
24.5,60,47,Wheat
23.3,64,41,Wheat
22.9,62,44,Wheat
25.2,59,43,Wheat
28,80,60,Rice
29.2,78,58,Rice
30.5,82,65,Rice
31,85,68,Rice
30.8,83,66,Rice
29.5,79,62,Rice
28.2,81,61,Rice
31.5,84,69,Rice
32,86,72,Rice
30,82,67,Rice
26.5,70,55,Maize
27.2,68,57,Maize
28.5,72,60,Maize
29,75,62,Maize
26.8,71,56,Maize
30,74,65,Maize
28.7,73,61,Maize
29.5,76,63,Maize
27.9,69,59,Maize
30.2,77,64,Maize
22.7,64,41,Wheat
23.5,61,43,Wheat
24.8,57,40,Wheat
25,62,46,Wheat
22.1,66,39,Wheat
26.3,54,49,Wheat
24.2,59,45,Wheat
23,63,42,Wheat
22.5,61,44,Wheat
25,58,42,Wheat
28.3,81,61,Rice
29.5,79,59,Rice
30.8,83,66,Rice
31.2,86,69,Rice
30.5,84,67,Rice
29,78,63,Rice
28,80,62,Rice
31.7,85,70,Rice
32.2,87,73,Rice
30.1,83,68,Rice
26.2,69,54,Maize
27.5,67,56,Maize
28.3,71,59,Maize
29.2,74,61,Maize
26.6,70,55,Maize
30.5,75,66,Maize
28.9,72,60,Maize
29.7,77,62,Maize
28,68,58,Maize
30.3,78,65,Maize
22.9,65,42,Wheat
23.8,60,41,Wheat
24.3,58,38,Wheat
25.7,63,46,Wheat
21.9,66,37,Wheat
26.1,55,51,Wheat
24.6,61,48,Wheat
23.4,65,40,Wheat
22.8,62,45,Wheat
25.3,59,44,Wheat
28.1,80,61,Rice
29.3,78,59,Rice
30.6,82,66,Rice
31.1,85,69,Rice
30.9,83,67,Rice
29.6,79,63,Rice
28.3,81,62,Rice
31.6,84,70,Rice
32.1,86,73,Rice
30.2,82,68,Rice
26.6,70,56,Maize
27.3,68,58,Maize
28.6,72,61,Maize
29.1,75,63,Maize
26.9,71,57,Maize
30.1,74,66,Maize
28.8,73,62,Maize
29.6,76,64,Maize
28.1,69,60,Maize
30.4,77,65,Maize
